id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
53828,1000,214,CH,1651,VD,,Lausanne 25,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53829,1000,214,CH,1651,VD,,Lausanne 26,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53830,1000,214,CH,1651,VD,,Lausanne 27,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53831,1003,214,CH,1651,VD,,Lausanne,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53832,1004,214,CH,1651,VD,,Lausanne,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53833,1005,214,CH,1651,VD,,Lausanne,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53834,1006,214,CH,1651,VD,,Lausanne,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53835,1007,214,CH,1651,VD,,Lausanne,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53836,1008,214,CH,1651,VD,,Jouxtens-Mézery,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53837,1008,214,CH,1651,VD,,Prilly,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53838,1009,214,CH,1651,VD,,Pully,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53839,1010,214,CH,1651,VD,,Lausanne,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53840,1011,214,CH,1651,VD,,Lausanne,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53841,1012,214,CH,1651,VD,,Lausanne,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53842,1015,214,CH,1651,VD,,Lausanne,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53843,1018,214,CH,1651,VD,,Lausanne,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53844,1020,214,CH,1651,VD,,Renens VD,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53845,1022,214,CH,1651,VD,,Chavannes-près-Renens,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53846,1023,214,CH,1651,VD,,Crissier,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53847,1024,214,CH,1651,VD,,Ecublens VD,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
53848,1025,214,CH,1651,VD,,St-Sulpice VD,full,,,openplz,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
